Date,Open,High,Low,Close
5/5/2018,351.112876,368.3103426,348.2058434,365.5904772
5/6/2018,342.0446406,352.2114793,335.6474791,350.7661593
5/7/2018,340.9430968,342.4508303,334.5455653,341.808669
5/8/2018,353.9564786,354.9890109,338.003306,340.8158454
5/9/2018,352.7368133,355.2140873,349.6799038,353.9567715
5/10/2018,346.6022407,354.0457534,345.1310207,352.5790067
5/11/2018,346.2186261,351.3077027,344.6665735,346.5220857
5/12/2018,352.9496667,354.1154244,336.4671507,346.2389138
6/1/2018,360.3091539,369.2644115,346.4770442,353.2059148
6/2/2018,360.0385152,361.1787748,353.3279431,359.9378738
6/3/2018,354.3629987,360.3533769,352.1468655,359.7573939
6/4/2018,357.9259214,366.4321728,354.5476496,355.1594236
6/5/2018,354.9599036,361.9843992,349.8340809,357.4384972
6/6/2018,352.3508823,355.8547722,348.1071213,355.4880904
6/7/2018,349.411429,357.7727323,339.0159208,352.1832447
6/8/2018,320.985031,351.4614833,318.5450913,349.3555851
6/9/2018,344.5898964,344.6713887,318.9692106,321.1163173
6/10/2018,341.7238168,346.6008365,336.8550413,344.5031623
6/11/2018,371.4001576,375.7370309,336.0689607,341.7860741
6/12/2018,385.5979929,385.5979929,367.0943752,371.0528262
7/1/2018,384.0416665,387.0763448,378.7240695,385.5443836
7/2/2018,389.337495,391.9041332,376.9649868,384.364542
7/3/2018,365.8657698,393.9016005,364.7951321,389.0192197
7/4/2018,364.7439859,372.7674241,356.6827459,365.8122913
7/5/2018,377.154029,381.508293,363.6068034,364.8392182
7/6/2018,365.6995861,384.4851953,357.5697748,377.2688751
7/7/2018,387.5192958,388.9597976,354.3401742,365.570005
7/8/2018,374.5953838,387.5384447,367.8422072,387.1831096
7/9/2018,368.1185078,376.6303945,355.58258,374.6955888
7/10/2018,351.4293232,377.3935731,351.1117498,368.1019071
7/11/2018,337.8249248,359.1644874,332.1649976,351.1100165
7/12/2018,353.2022665,355.5628726,328.8167754,337.6021119
8/1/2018,353.4502446,358.2118962,326.2543703,352.6734948
8/2/2018,335.3345518,359.7640478,319.041891,353.3622657
8/3/2018,388.0383992,394.1722644,316.7743457,335.2600791
8/4/2018,384.6716305,402.4117511,371.6366955,388.2411404
8/5/2018,440.2399919,449.5324721,381.1297055,385.6719284
8/6/2018,477.007884,480.330986,424.4600188,440.0405069
8/7/2018,434.8744377,487.21189,432.079179,477.0519242
8/8/2018,428.5090174,438.5603189,419.7701752,435.0797453
8/9/2018,399.6166885,428.6639601,399.6083735,428.3957176
8/10/2018,395.6875866,405.6163554,393.0374231,399.921471
