Date,Open,High,Low,Close,Adj Close,Volume
10/4/2021,105.40,107.08,104.60,104.90,104.90,7656200.00
10/5/2021,105.06,106.00,103.75,104.90,104.90,5737200.00
10/6/2021,103.68,104.42,102.06,104.33,104.33,7013900.00
10/7/2021,104.84,106.53,104.33,105.51,105.51,6656500.00
10/8/2021,105.37,106.22,104.66,104.72,104.72,4272100.00
10/11/2021,104.84,105.76,103.97,104.08,104.08,4121800.00
10/12/2021,103.56,104.04,101.56,102.72,102.72,8549600.00
10/13/2021,102.20,103.20,101.18,102.36,102.36,7517000.00
10/14/2021,103.14,103.65,102.37,102.74,102.74,6139100.00
10/15/2021,103.65,105.90,103.19,104.41,104.41,5647200.00
10/18/2021,103.68,104.57,103.04,104.12,104.12,4145500.00
10/19/2021,104.58,104.97,103.58,104.73,104.73,4216400.00
10/20/2021,104.75,106.02,103.87,106.00,106.00,6107900.00
10/21/2021,105.76,106.39,103.01,103.15,103.15,7219600.00
10/22/2021,103.05,104.51,102.55,104.05,104.05,5355000.00
10/25/2021,103.64,105.99,103.33,105.30,105.30,6496200.00
10/26/2021,105.76,110.97,105.22,107.44,107.44,11701000.00
10/27/2021,107.88,108.28,103.69,103.85,103.85,8984300.00
10/28/2021,103.39,105.38,103.10,105.26,105.26,5910800.00
10/29/2021,104.95,105.24,104.12,104.87,104.87,5617100.00
11/1/2021,105.76,106.77,105.28,106.23,106.23,4887100.00
11/2/2021,106.34,107.14,105.30,106.69,106.69,4480800.00
11/3/2021,106.16,106.34,104.82,105.97,105.97,4111700.00
11/4/2021,105.87,106.40,104.29,105.21,105.21,4675800.00
11/5/2021,106.93,109.65,106.85,108.74,108.74,7600000.00
